Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~276|Field=Description~String~Description~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Source~String~Source~100|Field=Source Part Number~String~Source Part Number~100|Field=Value~String~Value~100|Field=Variant~String~Variant~100|ReportField=ProjectFileName~Master-Slave.PrjPcb|ReportField=ProjectFullPath~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.PrjPcb|ReportField=Title~Bill of Materials For Variant [EVERYTHING] of Project [Master-Slave.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~231|ReportField=ReportTime~10:38:10 AM|ReportField=ReportDate~9/4/2008|ReportField=ReportDateTime~9/4/2008 10:38:10 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~EVERYTHING|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/4/2008|ReportField=CurrentTime~10:37:33 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.SchDoc|ReportField=DocumentName~Master-Slave.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~9/4/2008|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.34|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=1200|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~NEOS Master/Slave Electronics|ReportField=DataSourceFileName~Master-Slave.PrjPcb|ReportField=DataSourceFullPath~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.PrjPcb
24|DS3, DS4, DS7, DS8, DS11, DS12, DS15, DS16, DS19, DS20, DS23, DS24, DS27, DS28, DS31, DS32, DS35, DS36, DS39, DS40, DS43, DS44, DS47, DS48|120-degree, 3.3 x 3.5-mm, SMT LED in green color with water-transparent lens|Cree|LM1-PPG1-01-N1|Marktech Optoelectronics|LM1-PPG1-01-N1|120-degree, 3.3 x 3.5-mm, SMT LED in green color with water-transparent lens|EVERYTHING
1|DS49|LED 631NM TAPERED RED 5MM|TT Electronics/Optek Technology|OVLGS0C8B9|Digikey|365-1189-ND|LED 631NM TAPERED RED 5MM|EVERYTHING
1|DS50|LED 525NM ROUND GREEN 5MM|TT Electronics/Optek Technology|OVLFG3C7|Digikey|365-1181-ND|LED 525NM ROUND GREEN 5MM|EVERYTHING
1|J13|USB Connectors B TYPE VERT BLK SKT|Kycon|KUSBVX-BS1N-B|Mouser|806-KUSBVX-BS1N-B|USB Connectors B TYPE VERT BLK SKT|EVERYTHING
1|J14|CONN HEADER VERT 6POS 5.08MM|Phoenix Contact|1755778|Digikey|277-1154-ND|CONN HEADER VERT 6POS 5.08MM|EVERYTHING
7|JP1, JP2, JP3, JP4, R8, R22, R29|RES 0.0 OHM 1/8W 5% 0805 SMD|Panasonic - ECG|ERJ-6GEY0R00V|Digikey|P0.0ACT-ND|RES 0.0 OHM 1/8W 5% 0805 SMD|EVERYTHING
2|L1, L2|33uH 3A Surface Mount Inductor|CoilCraft|DO5022P-333MLB|CoilCraft|DO5022P-333MLB|33uH 3A Surface Mount|EVERYTHING
2|Q1, Q2|MOSFET N-CH 30V 8.5A 8-SOIC|Fairchild Semiconductor|FDS8884|Digikey|FDS8884CT-ND|MOSFET N-CH 30V 8.5A 8-SOIC|EVERYTHING
1|Q3|MOSFET N-CH 25V 220MA SOT-23|Fairchild Semiconductor|FDV301N|Digikey|FDV301NCT-ND|FDV301|EVERYTHING
19|R1, R2, R3, R6, R10, R11, R13, R14, R16, R19, R21, R23, R26, R27, R30, R31, R33, R34, R37|RES 100K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF1003V|Digikey|P100KCCT-ND|RES 100K OHM 1/8W 1% 0805 SMD|EVERYTHING
