"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"DS9","L#S/TLMK3210Z","668mil","1732mil","668mil","1732mil","661.059mil","1792.404mil","B","337.50","TLMK3210"
"DS6","L#S/TLMK3210Z","1091mil","1488mil","1091mil","1488mil","1099.93mil","1548.142mil","B","322.50","TLMK3210"
"DS5","L#S/TLMK3210Z","1438mil","1141mil","1438mil","1141mil","1462.191mil","1196.781mil","B","307.50","TLMK3210"
"DS2","L#S/TLMK3210Z","1682mil","718mil","1682mil","718mil","1719.804mil","765.619mil","B","292.50","TLMK3210"
"DS1","L#S/TLMK3210Z","1809mil","245mil","1809mil","245mil","1857.841mil","281.212mil","B","277.50","TLMK3210"
"U12","SOIC_8","420mil","1810mil","420mil","1810mil","314.685mil","1885mil","T","270.00","MOCD207M"
"R21","R0805","2500mil","-820mil","2500mil","-820mil","2537mil","-820mil","T","180.00","100K"
"D7","D2PAK","-1547.5mil","950mil","-1770mil","950mil","-1325mil","850mil","T","90.00","8A 80V"
"D1","DIODE_SMC","-2500mil","710mil","-2500mil","710mil","-2630.118mil","710mil","T","0.00","DIODE ULTRA FAST 3A 600V SMC"
"U11","TO263\7","-1974mil","380mil","-1810mil","380mil","-2138mil","530mil","T","270.00","LM2676S-ADJ/NOPB"
"R20","R0805","740mil","2060mil","740mil","2060mil","777mil","2060mil","T","180.00","10.0k"
"R18","R0805","-2350mil","230mil","-2350mil","230mil","-2313mil","230mil","T","180.00","1.65K 1%"
"R17","R0805","-2350mil","320mil","-2350mil","320mil","-2387mil","320mil","T","0.00","1.0k 1%"
"L2","IND/DO5022","-1100mil","1390mil","-1100mil","1390mil","-1100mil","1692.5mil","T","270.00","33uH 3A"
"C34","C0805","-2250mil","440mil","-2250mil","440mil","-2250mil","477.402mil","T","270.00",".1uF"
"C31","C7343","-490mil","1500mil","-490mil","1500mil","-490mil","1375mil","T","90.00","68uF 16V"
"C30","C7343","-690mil","1500mil","-690mil","1500mil","-690mil","1375mil","T","90.00","68uF 16V"
"C26","C0805","-2370mil","490mil","-2370mil","490mil","-2370mil","452.598mil","T","90.00",".01uF"
"U10","M08A","1740mil","-1223mil","1740mil","-1223mil","1815mil","-1120.638mil","T","180.00","LM4861M"
"C32","C0805","1740mil","-1443mil","1740mil","-1443mil","1703mil","-1443mil","T","360.00",".1uF"
"R16","R0805","1500mil","-1223mil","1500mil","-1223mil","1500mil","-1186mil","T","270.00","20.0k"
"R15","R0805","1800mil","-913mil","1800mil","-913mil","1800mil","-950mil","T","90.00","47.5k 1%"
"R13","R0805","1500mil","-1053mil","1500mil","-1053mil","1500mil","-1016mil","T","270.00","3.32k 1%"
"C28","R1206","1690mil","-913mil","1690mil","-913mil","1690mil","-968mil","T","90.00","1uF"
"C25","R1206","1500mil","-863mil","1500mil","-863mil","1500mil","-808mil","T","270.00",".33uF 25V"
"U3","SOIC_8","1314.999mil","2325mil","1315mil","2325mil","1420.314mil","2250mil","T","90.00","SN65HVD230DR"
"C8","C0805","1540mil","2330mil","1540mil","2330mil","1540mil","2367mil","T","270.00",".1uF"
"R27","R0805","1090mil","1350mil","1090mil","1350mil","1127mil","1350mil","T","180.00","100K"
"R26","R0805","1090mil","1450mil","1090mil","1450mil","1127mil","1450mil","T","180.00","100K"
"R23","R0805","1090mil","1550mil","1090mil","1550mil","1127mil","1550mil","T","180.00","100K"
"R19","R0805","1090mil","1650mil","1090mil","1650mil","1127mil","1650mil","T","180.00","100K"
"JP3","R0805","1270mil","1450mil","1270mil","1450mil","1233mil","1450mil","T","360.00","0 Ohm Config"
"C1","C0805","1590mil","1950mil","1590mil","1950mil","1590mil","1913mil","T","90.00",".1uF"
"R40","R0805","1970mil","730mil","1970mil","730mil","2007mil","730mil","T","180.00","1.0k 1%"
"U7","D-PAK_/_TO-252AA","-670mil","2435.001mil","-670mil","2435mil","-759.96mil","2300.158mil","T","360.00","LP2950CDT-3.3"
"U6","TO263\7","-1854mil","1660mil","-1690mil","1660mil","-2018mil","1810mil","T","270.00","LM2676S-ADJ/NOPB"
"L1","IND/DO5022","-2395mil","2300mil","-2395mil","2300mil","-2395mil","1997.5mil","T","90.00","33uH 3A"
"D2","D2PAK","-1787.5mil","2200mil","-1600mil","2200mil","-1975mil","2300mil","T","270.00","8A 80V"
"C22","C7343","-2505mil","1745mil","-2505mil","1745mil","-2630mil","1745mil","T","360.00","68uF 16V"
"C18","C7343","-2505mil","1530mil","-2505mil","1530mil","-2630mil","1530mil","T","360.00","68uF 16V"
"C7","C_EIA7343-43_(X)","-2480mil","1160mil","-2480mil","1160mil","-2354.016mil","1160mil","T","180.00","47uF 35V"
